Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR23949761,2024-03-20 22:28:40,2023-03-23 15:40:05,25950574,1297528700,0,50,818,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23949/SRR23949761/SRR23949761.lite.1,SRX19758688,GSM7113703,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP428968,PRJNA948022,3,948022,SRS17123870,SAMN33873391,simple,9606,Homo sapiens,GSM7113703,,,,,,,no,,,,,"GCBDS, BOEHRINGER INGELHEIM PHARMA GMBH&CO KG",SRA1609796,,public,8FAC9780170E83CB5453042AB574E367,1FCBBE10F823617432C47586E8340481
SRR23949760,2024-03-20 22:28:40,2023-03-23 15:40:20,29166511,1458325550,0,50,919,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23949/SRR23949760/SRR23949760.lite.1,SRX19758689,GSM7113704,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP428968,PRJNA948022,3,948022,SRS17123871,SAMN33873390,simple,9606,Homo sapiens,GSM7113704,,,,,,,no,,,,,"GCBDS, BOEHRINGER INGELHEIM PHARMA GMBH&CO KG",SRA1609796,,public,D4DFA75C4A761D15FE0AD999D916E198,C9813F922073F29C186E85391F126CC5
SRR23949759,2024-03-20 22:28:40,2023-03-23 15:39:42,27261145,1363057250,0,50,853,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23949/SRR23949759/SRR23949759.lite.1,SRX19758690,GSM7113705,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP428968,PRJNA948022,3,948022,SRS17123876,SAMN33873389,simple,9606,Homo sapiens,GSM7113705,,,,,,,no,,,,,"GCBDS, BOEHRINGER INGELHEIM PHARMA GMBH&CO KG",SRA1609796,,public,8D6DA41B0679DFA56863A7C998B89F85,8D559B3068D52CC9E1D8971EE733E8AB
SRR23949758,2024-03-20 22:28:40,2023-03-23 15:40:31,29348209,1467410450,0,50,904,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23949/SRR23949758/SRR23949758.lite.1,SRX19758691,GSM7113706,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP428968,PRJNA948022,3,948022,SRS17123877,SAMN33873388,simple,9606,Homo sapiens,GSM7113706,,,,,,,no,,,,,"GCBDS, BOEHRINGER INGELHEIM PHARMA GMBH&CO KG",SRA1609796,,public,422CD50DDB430D13E8D754724CCA5A2E,B4E823A446E4490F5F120A1064A54FD7
SRR23949757,2024-03-20 22:28:40,2023-03-23 15:37:55,18330895,916544750,0,50,577,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23949/SRR23949757/SRR23949757.lite.1,SRX19758692,GSM7113707,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP428968,PRJNA948022,3,948022,SRS17123872,SAMN33873387,simple,9606,Homo sapiens,GSM7113707,,,,,,,no,,,,,"GCBDS, BOEHRINGER INGELHEIM PHARMA GMBH&CO KG",SRA1609796,,public,A5098ED11024BF58F9E26FEBB7B2C789,C7274DB0F16D9F8328EC4E2507A4BF8B
SRR23949756,2024-03-20 22:28:40,2023-03-23 15:38:49,23928097,1196404850,0,50,747,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23949/SRR23949756/SRR23949756.lite.1,SRX19758693,GSM7113708,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP428968,PRJNA948022,3,948022,SRS17123873,SAMN33873386,simple,9606,Homo sapiens,GSM7113708,,,,,,,no,,,,,"GCBDS, BOEHRINGER INGELHEIM PHARMA GMBH&CO KG",SRA1609796,,public,9B066B9670C8391D80322B65EEC3D338,CC30256CF327F5803ECCF50931408A2E
SRR23949755,2024-03-20 22:28:40,2023-03-23 15:40:22,26244455,1312222750,0,50,818,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23949/SRR23949755/SRR23949755.lite.1,SRX19758694,GSM7113709,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP428968,PRJNA948022,3,948022,SRS17123875,SAMN33873385,simple,9606,Homo sapiens,GSM7113709,,,,,,,no,,,,,"GCBDS, BOEHRINGER INGELHEIM PHARMA GMBH&CO KG",SRA1609796,,public,481FEA40E87DF19D3B0C4697FBF1442C,D400D84A9E7CCC15498A44D2F2C82F7C
SRR23949754,2024-03-20 22:28:40,2023-03-23 15:40:23,29376969,1468848450,0,50,901,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23949/SRR23949754/SRR23949754.lite.1,SRX19758695,GSM7113710,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP428968,PRJNA948022,3,948022,SRS17123874,SAMN33873384,simple,9606,Homo sapiens,GSM7113710,,,,,,,no,,,,,"GCBDS, BOEHRINGER INGELHEIM PHARMA GMBH&CO KG",SRA1609796,,public,4B8FC6F546EEBA49C6FF18C0F093B298,D80BF1F2F03B1C3E7718D4957BA4C246
SRR23949753,2024-03-20 22:28:40,2023-03-23 15:37:47,23142386,971980212,0,42,608,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23949/SRR23949753/SRR23949753.lite.1,SRX19758696,GSM7113711,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP428968,PRJNA948022,3,948022,SRS17123878,SAMN33873383,simple,9606,Homo sapiens,GSM7113711,,,,,,,no,,,,,"GCBDS, BOEHRINGER INGELHEIM PHARMA GMBH&CO KG",SRA1609796,,public,80B4ADAA3AD916FCC38A31C251DEA2C6,63E84C8A83F556B67B4E7CD1DC70A48B
SRR23949752,2024-03-20 22:28:40,2023-03-23 15:41:51,26300283,1315014150,0,50,832,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23949/SRR23949752/SRR23949752.lite.1,SRX19758697,GSM7113712,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP428968,PRJNA948022,3,948022,SRS17123879,SAMN33873382,simple,9606,Homo sapiens,GSM7113712,,,,,,,no,,,,,"GCBDS, BOEHRINGER INGELHEIM PHARMA GMBH&CO KG",SRA1609796,,public,B74AE826E1DBBF5BA07E479448081169,91433F9C368BB7E13CB84BCD95FB580F
